image_path,prob_malignant,entropy
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_A-14-22549AB-200-007.png,0.39328298,0.67019403
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_A-14-22549AB-200-008.png,0.68782127,0.6208328
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_F-14-14134-200-005.png,0.18756977,0.48267984
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_F-14-29960AB-200-001.png,0.19976564,0.50007737
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_F-14-29960AB-200-003.png,0.28039405,0.59332514
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_F-14-29960AB-200-004.png,0.28069082,0.59360456
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_F-14-29960AB-200-005.png,0.19841385,0.49819565
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_F-14-29960AB-200-008.png,0.48041946,0.6923802
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_F-14-29960AB-200-012.png,0.57454324,0.6819923
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_F-14-29960AB-200-013.png,0.17401,0.46218792
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_F-14-29960AB-200-016.png,0.6845892,0.6233617
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_F-14-29960AB-200-017.png,0.24094428,0.55216587
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_F-14-29960AB-200-018.png,0.31811067,0.62543714
