image_path,prob_malignant,entropy
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\benign\SOB_B_A-14-22549AB-40-013.png,0.20794787,0.511225
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\benign\SOB_B_A-14-22549AB-40-018.png,0.36835244,0.65807295
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\benign\SOB_B_A-14-22549AB-40-025.png,0.46536738,0.6907464
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\benign\SOB_B_F-14-14134-40-009.png,0.71087575,0.6013657
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\benign\SOB_B_F-14-14134-40-010.png,0.2489596,0.56118923
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\benign\SOB_B_F-14-14134-40-018.png,0.7539518,0.55795187
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\benign\SOB_B_F-14-14134-40-021.png,0.511919,0.692863
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\benign\SOB_B_F-14-14134-40-022.png,0.76693684,0.54295117
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\benign\SOB_B_F-14-14134-40-023.png,0.28763506,0.6000206
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\benign\SOB_B_F-14-14134-40-025.png,0.21114032,0.5154636
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\benign\SOB_B_F-14-14134-40-026.png,0.61039585,0.66857076
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\benign\SOB_B_F-14-14134-40-027.png,0.6274077,0.66032094
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\benign\SOB_B_F-14-14134-40-028.png,0.39517608,0.67100716
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\benign\SOB_B_F-14-14134E-40-005.png,0.19567293,0.494345
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\benign\SOB_B_F-14-14134E-40-008.png,0.764946,0.5453114
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\benign\SOB_B_F-14-14134E-40-009.png,0.47349617,0.6917416
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\benign\SOB_B_F-14-14134E-40-010.png,0.24603042,0.55793196
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\benign\SOB_B_F-14-14134E-40-011.png,0.61237633,0.66767323
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\benign\SOB_B_F-14-14134E-40-012.png,0.6207039,0.66371846
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\benign\SOB_B_F-14-14134E-40-013.png,0.22976814,0.53899604
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\benign\SOB_B_F-14-14134E-40-018.png,0.47458518,0.69185483
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\benign\SOB_B_F-14-14134E-40-019.png,0.21804474,0.5244221
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\benign\SOB_B_F-14-14134E-40-020.png,0.7535822,0.5583654
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\benign\SOB_B_F-14-14134E-40-027.png,0.44776765,0.68768084
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\benign\SOB_B_F-14-14134E-40-028.png,0.6588066,0.6418239
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\benign\SOB_B_F-14-14134E-40-029.png,0.3335893,0.63669145
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\benign\SOB_B_TA-14-21978AB-40-002.png,0.30430007,0.61446387
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\benign\SOB_B_TA-14-21978AB-40-007.png,0.7833049,0.5226931
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\benign\SOB_B_TA-14-21978AB-40-011.png,0.23893066,0.54984415
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\benign\SOB_B_TA-14-21978AB-40-014.png,0.38930395,0.6684357
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\benign\SOB_B_TA-14-21978AB-40-015.png,0.67667955,0.629347
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\malignant\SOB_M_DC-14-12312-40-017.png,0.5251081,0.6918858
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\malignant\SOB_M_DC-14-12312-40-024.png,0.39099786,0.6691923
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\malignant\SOB_M_DC-14-12312-40-025.png,0.82626426,0.46176052
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\malignant\SOB_M_DC-14-12312-40-029.png,0.5267083,0.6917199
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\malignant\SOB_M_DC-14-13993-40-003.png,0.75225693,0.559842
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\malignant\SOB_M_DC-14-13993-40-011.png,0.21520822,0.5207759
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\malignant\SOB_M_DC-14-13993-40-012.png,0.79428625,0.50822204
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\malignant\SOB_M_DC-14-13993-40-015.png,0.2333122,0.5432476
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\malignant\SOB_M_DC-14-13993-40-017.png,0.37921932,0.6636807
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\malignant\SOB_M_DC-14-13993-40-028.png,0.5680554,0.6838553
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\malignant\SOB_M_DC-14-13993-40-036.png,0.29957858,0.6105068
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\malignant\SOB_M_DC-14-14946-40-011.png,0.7666163,0.54333264
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\malignant\SOB_M_DC-14-14946-40-012.png,0.17495629,0.46365866
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\malignant\SOB_M_DC-14-14946-40-017.png,0.7474046,0.56516856
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\malignant\SOB_M_DC-14-14946-40-021.png,0.7609329,0.55000216
