image_path,prob_malignant,entropy,descriptors,magnification
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\400X\benign\SOB_B_A-14-22549AB-400-002.png,0.45560047,0.6891993,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,400x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\400X\benign\SOB_B_A-14-22549AB-400-003.png,0.32172015,0.6281593,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,400x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\400X\benign\SOB_B_A-14-22549AB-400-012.png,0.6075273,0.6698413,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,400x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\400X\benign\SOB_B_A-14-22549AB-400-018.png,0.39648336,0.67155993,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,400x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\400X\benign\SOB_B_F-14-14134-400-034.png,0.32736418,0.6322963,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,400x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\400X\benign\SOB_B_F-14-14134-400-037.png,0.33988202,0.64095724,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,400x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\400X\benign\SOB_B_F-14-14134E-400-001.png,0.5951616,0.67492473,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,400x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\400X\benign\SOB_B_F-14-14134E-400-006.png,0.37327576,0.6606761,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,400x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\400X\benign\SOB_B_F-14-14134E-400-009.png,0.33579892,0.6382096,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,400x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\400X\benign\SOB_B_F-14-29960AB-400-008.png,0.31129882,0.6201359,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,400x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\400X\benign\SOB_B_F-14-29960AB-400-012.png,0.5978333,0.67388046,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,400x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\400X\benign\SOB_B_TA-14-21978AB-400-001.png,0.3017667,0.6123538,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,400x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\400X\benign\SOB_B_TA-14-21978AB-400-002.png,0.69666076,0.61366713,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,400x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\400X\benign\SOB_B_TA-14-21978AB-400-003.png,0.41296616,0.67792,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,400x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\400X\benign\SOB_B_TA-14-21978AB-400-004.png,0.5918825,0.67616606,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,400x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\400X\benign\SOB_B_TA-14-21978AB-400-005.png,0.6560917,0.6435939,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,400x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\400X\benign\SOB_B_TA-14-21978AB-400-006.png,0.4406699,0.68609047,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,400x
