image_path,prob_malignant,entropy,descriptors,magnification
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_A-14-22549AB-200-007.png,0.39328298,0.67019403,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,200x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_A-14-22549AB-200-008.png,0.68782127,0.6208328,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,200x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_F-14-14134-200-005.png,0.18756977,0.48267984,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,200x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_F-14-29960AB-200-001.png,0.19976564,0.50007737,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,200x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_F-14-29960AB-200-003.png,0.28039405,0.59332514,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,200x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_F-14-29960AB-200-004.png,0.28069082,0.59360456,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,200x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_F-14-29960AB-200-005.png,0.19841385,0.49819565,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,200x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_F-14-29960AB-200-008.png,0.48041946,0.6923802,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,200x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_F-14-29960AB-200-012.png,0.57454324,0.6819923,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,200x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_F-14-29960AB-200-013.png,0.17401,0.46218792,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Fragmented activation pattern,200x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_F-14-29960AB-200-016.png,0.6845892,0.6233617,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,200x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_F-14-29960AB-200-017.png,0.24094428,0.55216587,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,200x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_F-14-29960AB-200-018.png,0.31811067,0.62543714,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,200x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_TA-14-21978AB-200-003.png,0.7951873,0.5070023,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Fragmented activation pattern,200x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_TA-14-21978AB-200-006.png,0.42610604,0.6821864,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,200x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_TA-14-21978AB-200-007.png,0.20710208,0.5100918,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,200x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_TA-14-21978AB-200-008.png,0.44319063,0.68667865,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,200x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_TA-14-21978AB-200-010.png,0.25314218,0.5657609,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,200x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_TA-14-21978AB-200-016.png,0.20969504,0.5135523,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,200x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_TA-14-21978AB-200-017.png,0.78658205,0.5184501,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,200x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-12312-200-010.png,0.76890033,0.5406016,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,200x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-12312-200-012.png,0.7433393,0.5695351,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,200x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-12312-200-017.png,0.2703986,0.5836549,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,200x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-12312-200-024.png,0.7471659,0.5654273,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,200x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-12312-200-025.png,0.6556083,0.6439056,Moderate activation intensity; Localized activation clusters; High structural heterogeneity; Fragmented activation pattern,200x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-12312-200-029.png,0.7133038,0.599167,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,200x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-13993-200-001.png,0.5872725,0.67783594,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,200x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-13993-200-003.png,0.8094989,0.48694873,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,200x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-13993-200-007.png,0.5783363,0.6808233,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,200x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-13993-200-011.png,0.70440006,0.6070899,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,200x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-13993-200-012.png,0.61387134,0.66698486,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,200x
